node_id,alpha,beta,mean_activation,train_loss,val_recon,val_kld
176,7.425,3.825,0.6606900095939636,74.11295761108398,55.5412540435791,21.1865198135376
177,7.875,3.825,0.6737499833106995,74.05117156982422,55.51416854858398,21.182126426696776
178,8.325,3.825,0.6855999827384949,74.04430740356446,55.59929695129394,20.866049575805665
179,8.775,3.825,0.6967099905014038,74.23650299072266,55.64712677001953,20.964513778686523
180,0.225,4.275,0.094539999961853,67.31420471191406,56.165435028076175,20.637369918823243
181,0.675,4.275,0.1520600020885467,69.27799468994141,56.05652275085449,20.524836349487305
182,1.125,4.275,0.2133799940347671,70.88464874267578,55.64846572875977,21.02958393096924
183,1.575,4.275,0.2704499959945678,72.04207244873047,55.66947860717774,21.17909698486328
184,2.025,4.275,0.32150998711586,72.68945693969727,55.75631675720215,21.20447769165039
185,2.475,4.275,0.3673200011253357,74.07564270019532,55.90152816772461,21.71763973236084
186,2.925,4.275,0.40625,73.5689225769043,55.302381134033205,21.622794151306152
187,3.375,4.275,0.4400999844074249,73.76173873901367,55.80400314331055,21.24054584503174
188,3.825,4.275,0.4717999994754791,73.60150573730469,55.19252967834473,21.2942533493042
189,4.275,4.275,0.5,73.76642486572266,55.49816474914551,21.442321586608887
190,4.725,4.275,0.5252000093460083,74.29628158569336,55.51873512268067,21.508040618896484
191,5.175,4.275,0.548259973526001,74.14673355102539,55.77683982849121,21.252519607543945
192,5.625,4.275,0.5688999891281128,74.03940322875977,55.62801322937012,21.11799983978272
193,6.075,4.275,0.586169958114624,74.17504821777344,55.8107551574707,21.142571258544923
194,6.525,4.275,0.604669988155365,74.03167068481446,55.70672264099121,21.056188011169432
195,6.975,4.275,0.6201099753379822,74.77569427490235,56.048527526855466,21.338830375671385
196,7.425,4.275,0.634660005569458,74.55527908325195,56.471971130371095,21.04891376495361
197,7.875,4.275,0.6485899686813354,74.55332458496093,55.89578666687012,21.27590274810791
198,8.325,4.275,0.6605100035667419,73.90704711914063,55.37176284790039,21.038487434387207
199,8.775,4.275,0.6734799742698669,74.40977005004883,56.06697425842285,20.809841918945317
200,0.225,4.725,0.0881699994206428,66.8686737060547,57.54606742858887,20.294112968444825
201,0.675,4.725,0.142209991812706,69.19482391357423,55.95643501281738,20.67313919067383
202,1.125,4.725,0.1973799914121627,70.72160354614257,55.34106712341308,21.16638946533203
203,1.575,4.725,0.2514500021934509,71.93905548095704,55.44500465393067,21.33674774169922
204,2.025,4.725,0.3002199828624725,72.73200439453124,55.88782997131348,21.08894824981689
205,2.475,4.725,0.3426899909973144,73.35242218017578,55.960916137695314,21.43651142120361
206,2.925,4.725,0.3818999826908111,73.70744216918945,56.095380783081055,21.21005249023437
207,3.375,4.725,0.416049987077713,73.80023025512695,55.135908889770505,21.876923179626463
208,3.825,4.725,0.4475699961185455,73.64271057128906,55.476513671875,21.306449508666997
209,4.275,4.725,0.4747999906539917,74.14802627563476,55.69606971740723,21.56616878509521
210,4.725,4.725,0.499809980392456,74.27307723999023,55.66080703735352,21.49709167480469
211,5.175,4.725,0.5224599838256836,74.34627227783203,55.79698028564453,21.47576560974121
212,5.625,4.725,0.5431900024414062,74.32452514648438,55.56535682678223,21.42339324951172
213,6.075,4.725,0.5627599954605103,74.5812353515625,56.31412811279297,21.12371234893799
214,6.525,4.725,0.5811299681663513,74.50317199707031,55.93058052062988,21.39890193939209
215,6.975,4.725,0.597000002861023,74.25506546020507,55.77317810058594,21.283863639831544
216,7.425,4.725,0.6116999983787537,74.27505096435547,56.2948600769043,21.10842571258545
217,7.875,4.725,0.6261299848556519,74.20462478637695,55.6463737487793,21.074871635437013
218,8.325,4.725,0.6383000016212463,74.62471328735352,56.07829933166504,21.19160251617432
219,8.775,4.725,0.650439977645874,74.04284255981446,56.237491607666016,20.975882720947265
220,0.225,5.175,0.0820100009441375,66.99630950927734,57.3032943725586,20.498377799987797
221,0.675,5.175,0.1311099976301193,69.23798751831055,56.52393646240235,20.783513641357423
222,1.125,5.175,0.1840000003576278,70.79990447998047,56.19142646789551,20.955181884765626
223,1.575,5.175,0.2349900007247924,71.5555923461914,55.47993049621582,20.93725662231445
224,2.025,5.175,0.2809999883174896,72.9864225769043,56.22693214416504,21.50670909881592
225,2.475,5.175,0.3227699995040893,73.18975860595702,55.94527015686035,21.293594932556157
226,2.925,5.175,0.3601599931716919,73.57334518432617,55.71943969726563,21.660714149475098
227,3.375,5.175,0.3946999907493591,73.94666793823242,56.01390190124512,21.515928268432617
228,3.825,5.175,0.4246599972248077,73.71059677124023,55.41291046142578,21.50212287902832
229,4.275,5.175,0.4517399966716766,74.39683532714844,56.14420394897461,21.57299900054932
230,4.725,5.175,0.477539986371994,73.80123443603516,55.85401382446289,21.11758155822754
231,5.175,5.175,0.5,74.27099273681641,55.90547866821289,21.12478313446045
232,5.625,5.175,0.5207299590110779,74.68122375488281,55.98588600158691,21.54638729095459
233,6.075,5.175,0.5396899580955505,74.54406723022461,56.639486694335936,21.044337463378906
234,6.525,5.175,0.5573300123214722,74.35619522094727,55.66234817504883,21.55418033599853
235,6.975,5.175,0.5735299587249756,74.48960586547851,55.54448356628418,21.561537170410155
236,7.425,5.175,0.589139997959137,74.52718063354492,55.87808532714844,21.58380718231201
237,7.875,5.175,0.6041799783706665,74.93303298950195,55.76608428955078,21.84926300048828
238,8.325,5.175,0.6167500019073486,74.60958236694336,55.8278091430664,21.288708686828613
239,8.775,5.175,0.6290599703788757,74.09024810791016,55.32463836669922,21.22859764099121
240,0.225,5.625,0.0775299966335296,67.12048431396484,58.059831619262695,20.438754081726078
241,0.675,5.625,0.123429998755455,69.40336730957031,56.84164886474609,21.030824661254883
242,1.125,5.625,0.1727799922227859,70.29305313110352,55.97105827331543,20.88606700897217
243,1.575,5.625,0.2210599929094314,71.59590408325195,55.4880859375,21.222003555297853
244,2.025,5.625,0.2651900053024292,72.73080169677735,56.28342819213867,21.36992874145508
245,2.475,5.625,0.3053999841213226,73.34737152099609,56.28495445251465,21.225287628173827
246,2.925,5.625,0.3418299853801727,74.08240936279297,56.11623077392578,21.69114780426025
247,3.375,5.625,0.37322998046875,73.86280746459961,55.98395309448242,21.33065242767334
248,3.825,5.625,0.4045599997043609,74.49890274047851,56.192945861816405,21.81101303100586
249,4.275,5.625,0.4310999810695648,74.51818557739257,56.00359687805176,21.78352851867676
250,4.725,5.625,0.4568099975585937,74.14608261108398,55.30749855041504,21.724888038635253
